dt,temp,humidity,speed,deg,description
1614560400,295,64,4,202,clear sky
1614564000,294,68,3,200,clear sky
1614567600,294,64,3,210,clear sky
1614571200,295,64,4,210,clear sky
1614574800,294,68,3,220,clear sky
1614578400,293,78,3,230,clear sky
1614582000,293,83,2,230,overcast clouds
1614585600,293,83,3,220,overcast clouds
1614589200,293,83,2,250,broken clouds
1614592800,293,83,3,230,overcast clouds
1614596400,293,78,3,250,overcast clouds
1614600000,293,83,3,240,overcast clouds
1614603600,294,83,3,240,overcast clouds
1614607200,294,78,3,250,overcast clouds
1614610800,290,88,3,320,light rain
1614614400,290,88,2,270,light intensity drizzle
1614618000,290,88,2,260,overcast clouds
1614621600,293,68,2,280,overcast clouds
1614625200,295,49,3,320,overcast clouds
1614628800,295,46,4,310,overcast clouds
1614632400,294,49,4,310,overcast clouds
1614636000,293,45,3,350,overcast clouds
1614639600,292,52,3,330,overcast clouds
1614643200,291,55,3,360,overcast clouds
1614646800,291,59,4,337,overcast clouds
1614650400,290,67,4,348,overcast clouds
1614654000,290,67,2,10,overcast clouds
1614657600,289,72,2,320,light intensity drizzle
1614661200,288,82,3,330,overcast clouds
1614664800,288,82,2,320,overcast clouds
1614668400,286,71,4,330,light rain
1614672000,285,82,4,1,broken clouds
1614675600,285,71,2,340,scattered clouds
1614679200,284,71,4,19,clear sky
1614682800,284,71,4,30,clear sky
1614686400,283,58,3,60,scattered clouds
1614690000,284,50,2,50,scattered clouds
1614693600,284,46,2,130,broken clouds
1614697200,285,43,2,40,overcast clouds
1614700800,284,54,2,40,light rain
1614704400,284,58,2,90,overcast clouds
1614708000,284,50,3,60,light rain
1614711600,282,71,2,30,moderate rain
1614715200,281,87,2,80,overcast clouds
1614718800,281,81,4,70,overcast clouds
1614722400,281,81,3,80,light rain
1614726000,280,81,2,70,moderate rain
1614729600,280,87,2,90,heavy intensity rain
1614733200,280,93,3,50,moderate rain
1614736800,279,87,5,100,heavy intensity rain
1614744000,279,87,3,50,moderate rain
1614747600,278,93,4,70,light rain
1614751200,278,93,3,20,light rain
1614754800,278,93,3,340,overcast clouds
1614758400,278,93,4,60,light rain
1614762000,278,93,3,360,heavy intensity rain
1614765600,278,93,4,350,light rain
1614769200,278,87,2,10,moderate rain
1614772800,278,93,4,60,moderate rain
1614776400,278,93,2,350,moderate rain
1614780000,278,93,6,310,drizzle
1614783600,280,81,3,10,overcast clouds
1614787200,282,66,5,360,overcast clouds
1614790800,284,50,3,360,overcast clouds
1614794400,286,47,4,350,overcast clouds
1614798000,288,47,3,330,overcast clouds
1614801600,289,48,4,330,scattered clouds
1614805200,290,45,3,330,clear sky
1614808800,291,42,2,340,clear sky
1614812400,290,42,2,327,clear sky
1614816000,286,66,2,320,clear sky
1614819600,283,87,1,353,clear sky
1614823200,282,93,0,16,clear sky
1614826800,280,93,1,227,clear sky
1614830400,280,93,1,250,clear sky
1614834000,280,93,2,300,clear sky
1614837600,280,87,2,290,clear sky
1614841200,279,93,3,304,clear sky
1614844800,277,93,3,304,clear sky
1614848400,276,93,2,301,clear sky
1614852000,275,93,2,309,clear sky
1614855600,275,93,2,323,clear sky
1614859200,275,93,2,323,clear sky
1614862800,279,75,2,330,clear sky
1614866400,284,50,2,360,clear sky
1614870000,287,36,4,20,clear sky
1614873600,290,34,3,60,clear sky
1614877200,292,29,2,20,clear sky
1614880800,294,26,2,320,clear sky
1614884400,295,23,3,360,clear sky
1614888000,296,18,2,20,clear sky
1614891600,295,21,5,310,clear sky
1614895200,295,20,2,340,clear sky
1614898800,294,23,3,300,clear sky
1614902400,289,58,1,290,clear sky
1614906000,286,76,2,310,clear sky
1614909600,285,71,2,310,clear sky
1614913200,286,47,3,320,clear sky
1614916800,288,36,2,340,clear sky
1614920400,285,54,2,340,clear sky
1614924000,283,66,2,340,clear sky
1614927600,282,76,3,354,clear sky
1614931200,281,81,3,1,clear sky
1614934800,279,87,3,7,clear sky
1614938400,279,87,3,14,clear sky
1614942000,278,81,3,23,clear sky
1614945600,279,75,2,330,clear sky
1614949200,282,53,2,340,clear sky
1614952800,286,41,3,20,clear sky
1614956400,289,31,3,70,clear sky
1614960000,290,29,3,100,clear sky
1614963600,291,22,2,10,clear sky
1614967200,292,20,2,30,clear sky
1614970800,292,22,3,110,clear sky
1614974400,293,21,3,100,clear sky
1614978000,293,17,2,190,clear sky
1614981600,293,18,3,89,clear sky
1614985200,291,31,2,70,clear sky
1614988800,288,67,3,93,clear sky
1614992400,287,71,2,80,clear sky
1614996000,287,38,2,90,clear sky
1614999600,287,38,2,90,clear sky
1615003200,286,38,3,130,clear sky
1615006800,286,47,4,150,clear sky
1615010400,285,47,3,150,clear sky
1615014000,284,54,2,140,clear sky
1615017600,284,58,3,140,broken clouds
1615021200,284,58,2,120,haze
1615024800,284,62,2,50,haze
1615028400,283,62,2,40,overcast clouds
1615032000,283,62,3,70,clear sky
1615035600,283,58,2,80,overcast clouds
1615039200,284,54,3,80,overcast clouds
1615042800,284,46,5,80,broken clouds
1615046400,284,40,5,110,overcast clouds
1615050000,285,40,4,70,overcast clouds
1615053600,285,37,4,90,overcast clouds
1615057200,286,33,5,60,overcast clouds
1615060800,288,31,4,80,overcast clouds
1615064400,287,30,4,80,scattered clouds
1615068000,288,31,4,40,broken clouds
1615071600,286,38,2,40,clear sky
1615075200,282,66,3,50,clear sky
1615078800,281,87,2,8,clear sky
1615082400,279,93,2,21,clear sky
1615086000,278,93,2,29,clear sky
1615089600,278,87,2,16,clear sky
1615093200,277,93,2,358,clear sky
1615096800,276,93,2,358,clear sky
1615100400,275,93,2,353,clear sky
1615104000,275,93,2,345,clear sky
1615107600,274,93,1,4,clear sky
